2026-02-18 00:25:12 | INFO | log file (Reload_NoBuild_Ranked): E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\Reload_NoBuild_Ranked\output\logs\pipeline_2026-02-18_00-25-12.log
2026-02-18 00:25:12 | INFO | ===== Reload_NoBuild_Ranked: pipeline start =====
2026-02-18 00:25:12 | INFO | paths: lt=E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\Reload_NoBuild_Ranked\input\AthenaLootTierData_Client__final.json lp=E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\Reload_NoBuild_Ranked\input\AthenaLootPackages_Client__final.json minlist=E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\Reload_NoBuild_Ranked\input\items_unique_min.json
2026-02-18 00:25:12 | INFO | output: summary=E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\Reload_NoBuild_Ranked\output\summary lootdata=E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\戦利品データ\Reload_NoBuild_Ranked
2026-02-18 00:25:12 | INFO | flags: hotfix=True prewarm=True image=True workers=8
2026-02-18 00:25:12 | INFO | hotfix start: E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\LootPackage.py
2026-02-18 00:25:14 | INFO | hotfix lp stdout: [STEP1-1] base e:\Fmodel\Exports\FortniteGame\Content\Items\DataTables\AthenaLootPackages_Client.json
[HOTFIX:SEASON1] target=/Game/Items/Datatables/AthenaLootPackages_Client
[HOTFIX:SEASON1] Addrow(TableUpdate) なし -> スキップ
[1596] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.06.Weight=0.000000 -> OK
[1597] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.87.Weight=1.000000 -> OK
[1598] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.88.Weight=0.400000 -> OK
[1599] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.89.Weight=0.080000 -> OK
[1600] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.05.Weight=0.000000 -> OK
[1601] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.06.Weight=0.000000 -> OK
[1602] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.07.Weight=0.000000 -> OK
[1603] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.08.Weight=0.000000 -> OK
[1604] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.120.Weight=0.400000 -> OK
[1605] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.121.Weight=0.080000 -> OK
[1606] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.123.Weight=0.004000 -> OK
[1607] RowUpdate WorldList.AthenaLoot.Weapon.Sniper.24.Weight=0.400000 -> OK
[1608] RowUpdate WorldList.AthenaLoot.Weapon.Sniper.25.Weight=0.080000 -> OK
[1609] RowUpdate WorldList.AthenaLoot.Weapon.Sniper.34.Weight=0.000000 -> OK
[1610] RowUpdate WorldList.AthenaLoot.Weapon.HighSniper.41.Weight=0.400000 -> OK
[1611] RowUpdate WorldList.AthenaLoot.Weapon.HighSniper.42.Weight=0.080000 -> OK
[1612] RowUpdate WorldList.AthenaLoot.Weapon.HighSniper.43.Weight=0.016000 -> OK
[1613] RowUpdate WorldList.AthenaLoot.Weapon.HighSniper.44.Weight=0.004000 -> OK
[1614] RowUpdate WorldList.AthenaLoot.Weapon.HighSniper.58.Weight=0.000000 -> OK
[1615] RowUpdate WorldList.AthenaLoot.Weapon.HighSniper.59.Weight=0.000000 -> OK
[1616] RowUpdate WorldList.AthenaLoot.Weapon.HighSniper.60.Weight=0.000000 -> OK
[1617] RowUpdate WorldList.ApolloLoot.Weapon.HighShotgun.17.Weight=0.000000 -> OK
[1618] RowUpdate WorldList.ApolloLoot.Weapon.HighShotgun.18.Weight=0.000000 -> OK
[1619] RowUpdate WorldList.ApolloLoot.Weapon.HighShotgun.39.Weight=0.750000 -> OK
[1620] RowUpdate WorldList.ApolloLoot.Weapon.HighShotgun.40.Weight=0.250000 -> OK
[1621] RowUpdate WorldList.ApolloLoot.Weapon.HighShotgun.47.Weight=0.000000 -> OK
[1622] RowUpdate WorldList.ApolloLoot.Weapon.HighShotgun.48.Weight=0.000000 -> OK
[1623] RowUpdate WorldList.ApolloLoot.Weapon.HighHandgun.18.Weight=0.750000 -> OK
[1624] RowUpdate WorldList.ApolloLoot.Weapon.HighHandgun.19.Weight=0.250000 -> OK
[1625] RowUpdate WorldList.ApolloLoot.Weapon.SMG.25.Weight=0.000000 -> OK
[1626] RowUpdate WorldList.ApolloLoot.Weapon.SMG.26.Weight=0.000000 -> OK
[1627] RowUpdate WorldList.ApolloLoot.Weapon.SMG.37.Weight=0.750000 -> OK
[1628] RowUpdate WorldList.ApolloLoot.Weapon.SMG.38.Weight=0.250000 -> OK
[1629] RowUpdate WorldList.ApolloLoot.Weapon.AssaultAuto.05.Weight=0.000000 -> OK
[1630] RowUpdate WorldList.ApolloLoot.Weapon.AssaultAuto.06.Weight=0.000000 -> OK
[1631] RowUpdate WorldList.ApolloLoot.Weapon.AssaultAuto.62.Weight=0.250000 -> OK
[1632] RowUpdate WorldList.ApolloLoot.Weapon.Sniper.23.Weight=0.750000 -> OK
[1633] RowUpdate WorldList.ApolloLoot.Weapon.Sniper.24.Weight=0.250000 -> OK
[1634] RowUpdate WorldList.ApolloLoot.Weapon.Sniper.31.Weight=0.000000 -> OK
[1635] RowUpdate WorldList.ApolloLoot.Weapon.Sniper.32.Weight=0.000000 -> OK
[1636] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.33.Weight=0.000000 -> OK
[1637] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.34.Weight=0.000000 -> OK
[1638] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.35.Weight=0.000000 -> OK
[1639] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.72.Weight=0.250000 -> OK
[1640] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.73.Weight=0.125000 -> OK
[1641] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.74.Weight=0.025000 -> OK
[1642] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.88.Weight=0.000000 -> OK
[1643] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.89.Weight=0.000000 -> OK
[1644] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.90.Weight=0.000000 -> OK
[1645] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Handgun.32.Weight=0.250000 -> OK
[1646] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Handgun.33.Weight=0.125000 -> OK
[1647] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Handgun.34.Weight=0.025000 -> OK
[1648] RowUpdate WorldList.AthenaSupplyDrop.Weapon.SMG.47.Weight=0.000000 -> OK
[1649] RowUpdate WorldList.AthenaSupplyDrop.Weapon.SMG.48.Weight=0.000000 -> OK
[1650] RowUpdate WorldList.AthenaSupplyDrop.Weapon.SMG.49.Weight=0.000000 -> OK
[1651] RowUpdate WorldList.AthenaSupplyDrop.Weapon.SMG.71.Weight=0.250000 -> OK
[1652] RowUpdate WorldList.AthenaSupplyDrop.Weapon.SMG.72.Weight=0.125000 -> OK
[1653] RowUpdate WorldList.AthenaSupplyDrop.Weapon.SMG.73.Weight=0.025000 -> OK
[1654] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Assault.06.Weight=0.000000 -> OK
[1655] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Assault.07.Weight=0.000000 -> OK
[1656] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Assault.08.Weight=0.000000 -> OK
[1657] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Assault.121.Weight=0.250000 -> OK
[1658] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Assault.123.Weight=0.025000 -> OK
[1659] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Sniper.42.Weight=0.250000 -> OK
[1660] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Sniper.43.Weight=0.125000 -> OK
[1661] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Sniper.44.Weight=0.025000 -> OK
[1662] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Sniper.58.Weight=0.000000 -> OK
[1663] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Sniper.59.Weight=0.000000 -> OK
[1664] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Sniper.60.Weight=0.000000 -> OK
[1665] RowUpdate WorldList.AthenaHighConsumables.34.Weight=0.000000 -> OK
[1666] RowUpdate WorldList.AthenaHighConsumables.36.Weight=0.150000 -> OK
[1667] RowUpdate WorldList.AthenaHighConsumables.37.Weight=0.150000 -> OK
[1668] RowUpdate WorldList.AthenaHighConsumables.38.Weight=0.150000 -> OK
[1669] RowUpdate WorldList.AthenaHighConsumablesRare.34.Weight=0.000000 -> OK
[1670] RowUpdate WorldList.AthenaHighConsumablesRare.36.Weight=0.150000 -> OK
[1671] RowUpdate WorldList.AthenaHighConsumablesRare.37.Weight=0.100000 -> OK
[1672] RowUpdate WorldList.AthenaHighConsumablesRare.38.Weight=0.200000 -> OK
[1673] RowUpdate WorldList.AthenaSupplyDropConsumables.34.Weight=0.000000 -> OK
[1674] RowUpdate WorldList.AthenaSupplyDropConsumables.36.Weight=0.200000 -> OK
[1675] RowUpdate WorldList.AthenaSupplyDropConsumables.37.Weight=0.200000 -> OK
[1676] RowUpdate WorldList.AthenaSupplyDropConsumables.38.Weight=0.150000 -> OK
[1677] RowUpdate WorldList.AthenaSupplyDropHeals.13.Weight=0.000000 -> OK
[1678] RowUpdate WorldList.AthenaSupplyDropHeals.15.Weight=0.150000 -> OK
[1679] RowUpdate WorldList.AthenaSupplyDropHeals.16.Weight=0.150000 -> OK
[1680] RowUpdate WorldList.AthenaSupplyDropHeals.17.Weight=0.200000 -> OK
[1681] RowUpdate WorldList.AthenaConsumables.34.Weight=0.000000 -> OK
[1682] RowUpdate WorldList.AthenaConsumables.36.Weight=0.200000 -> OK
[1683] RowUpdate WorldList.AthenaConsumables.37.Weight=0.200000 -> OK
[1684] RowUpdate WorldList.AthenaConsumables.38.Weight=0.100000 -> OK
[1685] RowUpdate WorldList.MythicRandom.30.Weight=1.000000 -> OK
[1686] RowUpdate WorldList.MythicRandom.50.Weight=1.000000 -> OK
[1738] RowUpdate WorldList.AGSupply4.01.Weight=0.000000 -> OK
[1739] RowUpdate WorldList.MythicRandom.43.Weight=0.000000 -> OK
[1740] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.04.Weight=1.000000 -> OK
[1741] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.05.Weight=0.400000 -> OK
[1742] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.06.Weight=0.080000 -> OK
[1743] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.33.Weight=1.000000 -> OK
[1744] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.34.Weight=0.400000 -> OK
[1745] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.35.Weight=0.080000 -> OK
[1746] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.76.Weight=0.000000 -> OK
[1747] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.79.Weight=0.000000 -> OK
[1748] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.05.Weight=0.400000 -> OK
[1749] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.06.Weight=0.080000 -> OK
[1750] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.07.Weight=0.016000 -> OK
[1751] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.08.Weight=0.004000 -> OK
[1752] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.51.Weight=0.400000 -> OK
[1753] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.52.Weight=0.080000 -> OK
[1754] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.53.Weight=0.016000 -> OK
[1755] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.54.Weight=0.004000 -> OK
[1756] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.107.Weight=0.000000 -> OK
[1757] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.108.Weight=0.000000 -> OK
[1758] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.111.Weight=0.000000 -> OK
[1759] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.112.Weight=0.000000 -> OK
[1760] RowUpdate WorldList.AthenaLoot.Weapon.Handgun.31.Weight=0.400000 -> OK
[1761] RowUpdate WorldList.AthenaLoot.Weapon.Handgun.32.Weight=0.080000 -> OK
[1762] RowUpdate WorldList.AthenaLoot.Weapon.Handgun.36.Weight=0.000000 -> OK
[1763] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.44.Weight=0.400000 -> OK
[1764] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.45.Weight=0.080000 -> OK
[1765] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.46.Weight=0.016000 -> OK
[1766] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.47.Weight=0.004000 -> OK
[1767] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.52.Weight=0.000000 -> OK
[1768] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.53.Weight=0.000000 -> OK
[1769] RowUpdate WorldList.AthenaLoot.Weapon.SMG.46.Weight=1.000000 -> OK
[1770] RowUpdate WorldList.AthenaLoot.Weapon.SMG.47.Weight=0.400000 -> OK
[1771] RowUpdate WorldList.AthenaLoot.Weapon.SMG.48.Weight=0.080000 -> OK
[1772] RowUpdate WorldList.AthenaLoot.Weapon.SMG.55.Weight=0.000000 -> OK
[1773] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.64.Weight=0.400000 -> OK
[1774] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.65.Weight=0.080000 -> OK
[1775] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.66.Weight=0.016000 -> OK
[1776] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.67.Weight=0.004000 -> OK
[1777] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.76.Weight=0.000000 -> OK
[1778] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.77.Weight=0.000000 -> OK
[1779] RowUpdate WorldList.ApolloLoot.Weapon.HighShotgun.03.Weight=0.750000 -> OK
[1780] RowUpdate WorldList.ApolloLoot.Weapon.HighShotgun.04.Weight=0.250000 -> OK
[1781] RowUpdate WorldList.ApolloLoot.Weapon.HighShotgun.29.Weight=0.750000 -> OK
[1782] RowUpdate WorldList.ApolloLoot.Weapon.HighShotgun.30.Weight=0.250000 -> OK
[1783] RowUpdate WorldList.ApolloLoot.Weapon.HighShotgun.57.Weight=0.000000 -> OK
[1784] RowUpdate WorldList.ApolloLoot.Weapon.HighShotgun.59.Weight=0.000000 -> OK
[1785] RowUpdate WorldList.ApolloLoot.Weapon.HighHandgun.24.Weight=0.750000 -> OK
[1786] RowUpdate WorldList.ApolloLoot.Weapon.HighHandgun.25.Weight=0.250000 -> OK
[1787] RowUpdate WorldList.ApolloLoot.Weapon.HighHandgun.28.Weight=0.000000 -> OK
[1788] RowUpdate WorldList.ApolloLoot.Weapon.SMG.33.Weight=0.750000 -> OK
[1789] RowUpdate WorldList.ApolloLoot.Weapon.SMG.34.Weight=0.250000 -> OK
[1790] RowUpdate WorldList.ApolloLoot.Weapon.SMG.39.Weight=0.000000 -> OK
[1791] RowUpdate WorldList.ApolloLoot.Weapon.AssaultAuto.63.Weight=0.000000 -> OK
[1792] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.06.Weight=0.250000 -> OK
[1793] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.07.Weight=0.125000 -> OK
[1794] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.08.Weight=0.025000 -> OK
[1795] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.52.Weight=0.250000 -> OK
[1796] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.53.Weight=0.125000 -> OK
[1797] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.54.Weight=0.025000 -> OK
[1798] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.107.Weight=0.000000 -> OK
[1799] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.108.Weight=0.000000 -> OK
[1800] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.111.Weight=0.000000 -> OK
[1801] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.112.Weight=0.000000 -> OK
[1802] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Handgun.44.Weight=0.250000 -> OK
[1803] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Handgun.45.Weight=0.125000 -> OK
[1804] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Handgun.46.Weight=0.025000 -> OK
[1805] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Handgun.51.Weight=0.000000 -> OK
[1806] RowUpdate WorldList.AthenaSupplyDrop.Weapon.SMG.63.Weight=0.250000 -> OK
[1807] RowUpdate WorldList.AthenaSupplyDrop.Weapon.SMG.64.Weight=0.125000 -> OK
[1808] RowUpdate WorldList.AthenaSupplyDrop.Weapon.SMG.65.Weight=0.025000 -> OK
[1809] RowUpdate WorldList.AthenaSupplyDrop.Weapon.SMG.74.Weight=0.000000 -> OK
[1810] RowUpdate WorldList.AthenaSupplyDrop.Weapon.SMG.75.Weight=0.000000 -> OK
[1811] RowUpdate WorldList.MythicRandom.47.Weight=1.000000) -> OK
[1833] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.04.Weight=1.000000 -> OK
[1834] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.05.Weight=0.400000 -> OK
[1835] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.06.Weight=0.080000 -> OK
[1836] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.07.Weight=1.000000 -> OK
[1837] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.08.Weight=0.400000 -> OK
[1838] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.09.Weight=0.080000 -> OK
[1839] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.37.Weight=0.400000 -> OK
[1840] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.38.Weight=0.080000 -> OK
[1841] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.76.Weight=0.000000 -> OK
[1842] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.79.Weight=0.000000 -> OK
[1843] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.05.Weight=0.400000 -> OK
[1844] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.06.Weight=0.080000 -> OK
[1845] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.07.Weight=0.016000 -> OK
[1846] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.08.Weight=0.004000 -> OK
[1847] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.09.Weight=0.400000 -> OK
[1848] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.10.Weight=0.080000 -> OK
[1849] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.11.Weight=0.016000 -> OK
[1850] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.12.Weight=0.004000 -> OK
[1851] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.55.Weight=0.400000 -> OK
[1852] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.56.Weight=0.080000 -> OK
[1853] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.57.Weight=0.016000 -> OK
[1854] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.58.Weight=0.004000 -> OK
[1855] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.107.Weight=0.000000 -> OK
[1856] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.108.Weight=0.000000 -> OK
[1857] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.111.Weight=0.000000 -> OK
[1858] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.112.Weight=0.000000 -> OK
[1859] RowUpdate WorldList.AthenaLoot.Weapon.Handgun.01.Weight=1.000000 -> OK
[1860] RowUpdate WorldList.AthenaLoot.Weapon.Handgun.02.Weight=0.400000 -> OK
[1861] RowUpdate WorldList.AthenaLoot.Weapon.Handgun.03.Weight=0.080000 -> OK
[1862] RowUpdate WorldList.AthenaLoot.Weapon.Handgun.25.Weight=0.400000 -> OK
[1863] RowUpdate WorldList.AthenaLoot.Weapon.Handgun.26.Weight=0.080000 -> OK
[1864] RowUpdate WorldList.AthenaLoot.Weapon.Handgun.36.Weight=0.000000 -> OK
[1865] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.01.Weight=0.400000 -> OK
[1866] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.02.Weight=0.080000 -> OK
[1867] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.03.Weight=0.016000 -> OK
[1868] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.04.Weight=0.004000 -> OK
[1869] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.36.Weight=0.400000 -> OK
[1870] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.37.Weight=0.080000 -> OK
[1871] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.38.Weight=0.016000 -> OK
[1872] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.39.Weight=0.004000 -> OK
[1873] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.52.Weight=0.000000 -> OK
[1874] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.53.Weight=0.000000 -> OK
[1875] RowUpdate WorldList.AthenaLoot.Weapon.SMG.15.Weight=1.000000 -> OK
[1876] RowUpdate WorldList.AthenaLoot.Weapon.SMG.16.Weight=0.400000 -> OK
[1877] RowUpdate WorldList.AthenaLoot.Weapon.SMG.17.Weight=0.080000 -> OK
[1878] RowUpdate WorldList.AthenaLoot.Weapon.SMG.37.Weight=1.000000 -> OK
[1879] RowUpdate WorldList.AthenaLoot.Weapon.SMG.37.ItemDefinition=/GoliathBurst/Gameplay/Ch7/Weapons/SMG/WID_SMG_GoliathBurst_C.WID_SMG_GoliathBurst_C -> OK
[1880] RowUpdate WorldList.AthenaLoot.Weapon.SMG.38.Weight=0.400000 -> OK
[1881] RowUpdate WorldList.AthenaLoot.Weapon.SMG.38.ItemDefinition=/GoliathBurst/Gameplay/Ch7/Weapons/SMG/WID_SMG_GoliathBurst_UC.WID_SMG_GoliathBurst_UC -> OK
[1882] RowUpdate WorldList.AthenaLoot.Weapon.SMG.39.Weight=0.080000 -> OK
[1883] RowUpdate WorldList.AthenaLoot.Weapon.SMG.39.ItemDefinition=/GoliathBurst/Gameplay/Ch7/Weapons/SMG/WID_SMG_GoliathBurst_R.WID_SMG_GoliathBurst_R -> OK
[1884] RowUpdate WorldList.AthenaLoot.Weapon.SMG.55.Weight=0.000000 -> OK
[1885] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.21.Weight=0.400000 -> OK
[1886] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.22.Weight=0.080000 -> OK
[1887] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.23.Weight=0.016000 -> OK
[1888] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.24.Weight=0.004000 -> OK
[1889] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.52.Weight=0.400000 -> OK
[1890] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.52.ItemDefinition=/GoliathBurst/Gameplay/Ch7/Weapons/SMG/WID_SMG_GoliathBurst_UC.WID_SMG_GoliathBurst_UC -> OK
[1891] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.53.Weight=0.080000 -> OK
[1892] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.53.ItemDefinition=/GoliathBurst/Gameplay/Ch7/Weapons/SMG/WID_SMG_GoliathBurst_R.WID_SMG_GoliathBurst_R -> OK
[1893] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.54.Weight=0.016000 -> OK
[1894] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.54.ItemDefinition=/GoliathBurst/Gameplay/Ch7/Weapons/SMG/WID_SMG_GoliathBurst_VR.WID_SMG_GoliathBurst_VR -> OK
[1895] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.55.Weight=0.004000 -> OK
[1896] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.55.ItemDefinition=/GoliathBurst/Gameplay/Ch7/Weapons/SMG/WID_SMG_GoliathBurst_SR.WID_SMG_GoliathBurst_SR -> OK
[1897] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.76.Weight=0.000000 -> OK
[1898] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.77.Weight=0.000000 -> OK
[1899] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.22.Weight=1.000000 -> OK
[1900] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.23.Weight=0.400000 -> OK
[1901] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.24.Weight=0.080000 -> OK
[1902] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.51.Weight=1.000000 -> OK
[1903] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.52.Weight=0.400000 -> OK
[1904] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.53.Weight=0.080000 -> OK
[1905] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.63.Weight=1.000000 -> OK
[1906] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.64.Weight=0.400000 -> OK
[1907] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.65.Weight=0.080000 -> OK
[1908] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.87.Weight=0.000000 -> OK
[1909] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.88.Weight=0.000000 -> OK
[1910] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.91.Weight=0.000000 -> OK
[1911] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.94.Weight=0.000000 -> OK
[1912] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.95.Weight=0.000000 -> OK
[1913] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.29.Weight=0.400000 -> OK
[1914] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.30.Weight=0.080000 -> OK
[1915] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.31.Weight=0.016000 -> OK
[1916] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.32.Weight=0.004000 -> OK
[1917] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.72.Weight=0.400000 -> OK
[1918] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.73.Weight=0.080000 -> OK
[1919] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.74.Weight=0.016000 -> OK
[1920] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.75.Weight=0.004000 -> OK
[1921] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.88.Weight=0.400000 -> OK
